#,name,voteType,id,code,url
212,"Gender roles, equality and inclusion in the EU (political compass)",,,,
213,Global priorities for international development,,,,
214,Governance of academic priorities within the EU,,,,
215,Green and social economy,,,,
216,Green claims,,,,
217,Green Taxonomy,,,,
218,Heated tobacco products,,,,
219,Human tragedies,,,,
220,Import of agri-food products in the EU,,,,
221,Industrial emissions directive (IED),,,,
222,International data transfers,,,,
223,International humanitarian alignment with UN,,,,
224,Interoperability requirements for digital platforms,,,,
225,Jewish culture and antisemitism,,,,
226,Jurisdiction conflicts between EU and national courts,,,,
227,Large Carnivores,,,,
228,LGBTIQ+,,,,
229,Liability for online marketplaces,,,,
230,Low-carbon hydrogen,,,,
231,Management of EU forests,,,,
232,Markets in Financial Instruments Directive (MiFID),,,,
233,Military emissions reporting,,,,
234,Minimum income harmonisation at EU level,,,,
235,Minimum wages harmonisation at EU level,,,,
236,Multilingualism in EU institutions,,,,
237,Natural gas,,,,
238,Nature protection and restoration in the EU,,,,
239,New Genomic Techniques,,,,
240,Nuclear energy,,,,
241,Nutrition,,,,
242,Ownership of strategic assets,,,,
243,Partisan,,,,
244,Pesticides (10th term),,,,
245,Pharma IPRs,,,,
246,Pharma transparency,,,,
247,Pharmaceuticals regulation in EU,,,,
248,Plant-based diet,,,,
249,Platform workers,,,,
250,Polish-Ukraine historical conflict,,,,
251,Positioning on Omnibuses simplification initiatives (all votes),,,,
252,Positioning on Omnibuses simplification initiatives (final votes only),,,,
253,Preferential treatment for made in EU cars and components,,,,
254,Privacy & detection of online child abuse,,,,
255,Privacy & digital economy,,,,
256,Privacy & law enforcement,,,,
257,Promotion of open-source softwares,,,,
258,Public funding for education,,,,
259,Re-use of packaging,,,,
260,Recommender systems,,,,
261,Recruitment policies in the EU,,,,
262,Regulation of crypto,,,,
263,Regulation of deep-seabed mining,,,,
264,Regulation of drug precursors in the EU,,,,
265,Regulation of NGOs in Europe,,,,
266,Regulation of pornography in the EU,,,,
267,Regulation of surrogate pregnancy,,,,
268,Regulation on new oral nicotine products,,,,
269,Relations with NATO,,,,
270,Relations with Taiwan,,,,
271,Remembrance of communism/Soviet Union,,,,
272,Research priorities within the EU,,,,
273,Restrictions of flavours in tobacco products,,,,
274,Risk prevention infrastructure,,,,
275,Road transport environmental policy,,,,
276,Role of education (social change vs. tradition),,,,
277,Role of taxation,,,,
278,Role of Technologies Other Than Electric Vehicles,,,,
279,Rule of law and democracy in the EU (political compass),,,,
280,Rule of law in Spain,,,,
281,Safety features & content control for child protection online,,,,
282,Senders-pay,,,,
283,Sexuality and reproduction,,,,
284,Sourcing of critical raw materials,,,,
285,State Aid,,,,
286,Strategic Screening in International Research Cooperation,,,,
287,Support for families,,,,
288,Support for ICC,,,,
289,Support for international humanitarian organisations,,,,
290,Surveillance equipment & spyware,,,,
291,Sustainability of batteries regulation,,,,
292,Sustainable corporate governance,,,,
293,Sustainable use of seeds in EU policy,,,,
294,Taxation of financial transactions,,,,
295,Taxation of windfall profits,,,,
296,Trade relations with China,,,,
297,Trade relations with Mercosur,,,,
298,Trade relations with Morocco,,,,
299,Trade relations with Turkey,,,,
300,Transparency and oversight of AI-generated content,,,,
301,Transparency requirements for interest groups,,,,
302,Transparency requirements of EU institutions,,,,
303,Use of fertilisers,,,,
304,Vaccination,,,,
305,Water pollution,,,,
306,Wealth taxation,,,,
